survey_year,island,site_id,site_name,state,ecoregion,n_sites,live_coral_cover_pct,lcc_prev,years_since_prev,lcc_change,lcc_change_rate,region_avg_lcc_pct,island_vs_region_pct,grp_other,grp_available_substrate,grp_sand,grp_disturbance_indicators,grp_pollution_indicators,fish_butterflyfish,fish_snapper,fish_parrotfish,fish_grouper,fish_sweetlips,fish_moray_eel,inv_diadema_urchin,inv_sea_cucumber,inv_giant_clam,inv_crown_of_thorns,cot_outbreak,grazer_ratio,n_highvalue_fish_absent,n_curio_inverts_absent,impact_anchor,impact_nets,impact_trash,impact_bleaching,impact_cot,confidence,substrate6_source,fish_source,n_sites_source
2023,Aur & Dayang,AUR_DAYANG_S01,Aur & Dayang Reef Site 01,Johor,Sunda Shelf,1,33.9329,37.2965,1,-3.3636,-3.3636,51.9329,-15.2427,0.5146,26.835,10.8854,16.4113,11.4209,2.5075,0.3155,4.2732,0.6951,0.1941,0.0921,0.6182,5.7416,1.3144,0.396,1,19.6941,2,3,0,0,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2024,Aur & Dayang,AUR_DAYANG_S01,Aur & Dayang Reef Site 01,Johor,Sunda Shelf,1,38.7654,33.9329,1,4.8325,4.8325,52.8270,-12.9696,0.5774,26.918,7.6753,16.3542,9.7097,2.95,0.1861,4.1045,0.6954,0.0908,0.093,0.8211,4.9617,1.9369,0.4759,1,14.3516,2,3,0,1,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2025,Aur & Dayang,AUR_DAYANG_S01,Aur & Dayang Reef Site 01,Johor,Sunda Shelf,1,37.122,38.7654,1,-1.6434,-1.6434,51.8995,-13.8191,0.4297,25.3997,6.6248,20.2902,10.1336,2.7728,0.3856,4.5307,0.6694,0.2029,0.0643,0.8046,5.6301,1.4446,0.3662,1,8.2722,3,3,1,1,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2012,Aur & Dayang,AUR_DAYANG_S02,Aur & Dayang Reef Site 02,Johor,Sunda Shelf,1,46.2565,,,,,51.9699,-7.6845,0.2207,19.9955,7.1117,17.4852,8.9304,3.3484,0.4135,3.1397,1.109,0.0939,0.0509,0.9849,5.7408,1.4955,0.4542,1,5.4801,3,3,0,0,1,1,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2013,Aur & Dayang,AUR_DAYANG_S02,Aur & Dayang Reef Site 02,Johor,Sunda Shelf,1,39.7157,46.2565,1,-6.5408,-6.5408,51.5112,-12.7537,0.2443,21.5119,7.7033,18.9051,11.9197,4.408,0.4573,5.3871,1.4931,0.2005,0.0349,0.7143,5.7096,1.1617,0.4181,1,32.4999,3,3,0,1,1,1,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2014,Aur & Dayang,AUR_DAYANG_S02,Aur & Dayang Reef Site 02,Johor,Sunda Shelf,1,37.1694,39.7157,1,-2.5463,-2.5463,52.0935,-15.5819,0.2964,20.4459,10.8453,16.1502,15.0928,3.3244,0.321,5.7899,1.2196,0.0966,0.0476,0.9758,3.4565,0.6917,0.5661,1,58.9365,3,3,0,1,1,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2015,Aur & Dayang,AUR_DAYANG_S02,Aur & Dayang Reef Site 02,Johor,Sunda Shelf,1,39.1142,37.1694,1,1.9448,1.9448,51.7327,-13.4642,0.5191,20.2898,9.5291,17.0735,13.4743,4.1723,0.5166,4.605,1.6264,0.0816,0.0763,0.6433,5.8004,1.2146,0.4779,1,44.5738,2,3,1,0,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2016,Aur & Dayang,AUR_DAYANG_S02,Aur & Dayang Reef Site 02,Johor,Sunda Shelf,1,41.9807,39.1142,1,2.8665,2.8665,51.9367,-12.1172,0.2695,18.7508,7.7389,18.6906,12.5694,4.3511,0.7503,7.5563,1.1523,0.1108,0.0404,0.9637,7.0113,0.9774,0.346,1,25.2581,3,3,0,0,0,1,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2017,Aur & Dayang,AUR_DAYANG_S02,Aur & Dayang Reef Site 02,Johor,Sunda Shelf,1,38.2688,41.9807,1,-3.7119,-3.7119,52.0881,-14.3106,0.4128,24.1001,8.3289,15.4596,13.4298,3.1487,0.651,4.2606,1.0795,0.104,0.1126,0.986,4.3193,1.1961,0.3434,1,23.1721,3,3,1,1,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2018,Aur & Dayang,AUR_DAYANG_S02,Aur & Dayang Reef Site 02,Johor,Sunda Shelf,1,38.7218,38.2688,1,0.4530,0.4530,51.8378,-14.7398,0.3721,21.8583,8.3314,16.3734,14.343,4.399,0.4477,5.7126,1.4462,0.166,0.0644,0.6421,5.4947,1.324,0.4229,1,53.3623,3,3,1,1,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2019,Aur & Dayang,AUR_DAYANG_S02,Aur & Dayang Reef Site 02,Johor,Sunda Shelf,1,36.4854,38.7218,1,-2.2364,-2.2364,52.9643,-15.0220,0.3613,19.5721,8.7333,21.7239,13.124,3.8931,0.5045,5.8117,1.4278,0.1113,0.0425,0.9966,5.5649,1.5312,0.4932,1,38.5479,3,3,0,1,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2021,Aur & Dayang,AUR_DAYANG_S02,Aur & Dayang Reef Site 02,Johor,Sunda Shelf,1,38.5689,36.4854,2,2.0835,1.0418,51.7237,-14.7039,0.3467,19.9437,10.8799,17.2993,12.9615,4.0027,0.5061,4.7525,1.398,0.1355,0.0638,1.0368,5.7317,1.7266,0.4128,1,29.9612,2,3,1,1,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2022,Aur & Dayang,AUR_DAYANG_S02,Aur & Dayang Reef Site 02,Johor,Sunda Shelf,1,38.8799,38.5689,1,0.3110,0.3110,51.6032,-11.7412,0.3784,21.4669,8.5881,18.6542,12.0325,3.7179,0.5149,2.9409,1.4095,0.0734,0.0455,0.7719,4.6166,1.0313,0.4844,1,27.1977,2,3,0,0,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2023,Aur & Dayang,AUR_DAYANG_S02,Aur & Dayang Reef Site 02,Johor,Sunda Shelf,1,39.1257,38.8799,1,0.2458,0.2458,51.9329,-15.2427,0.324,20.542,10.0805,17.0508,12.877,3.9625,0.4417,5.1901,1.3914,0.1224,0.0821,0.9196,6.3267,1.3911,0.4073,1,24.2844,3,3,0,1,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2024,Aur & Dayang,AUR_DAYANG_S02,Aur & Dayang Reef Site 02,Johor,Sunda Shelf,1,38.9996,39.1257,1,-0.1261,-0.1261,52.8270,-12.9696,0.4551,21.4008,8.3919,17.3373,13.4154,3.2156,0.2833,3.6539,1.3141,0.063,0.0863,1.1964,4.3342,1.64,0.4035,1,17.4088,2,3,0,1,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2025,Aur & Dayang,AUR_DAYANG_S02,Aur & Dayang Reef Site 02,Johor,Sunda Shelf,1,38.0589,38.9996,1,-0.9407,-0.9407,51.8995,-13.8191,0.3441,21.1191,9.2544,18.0782,13.1454,3.7798,0.7051,6.2058,1.0546,0.1179,0.0526,0.931,6.747,1.2749,0.3374,1,8.544,3,3,1,1,1,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2013,Aur & Dayang,AUR_DAYANG_S03,Aur & Dayang Reef Site 03,Johor,Sunda Shelf,1,40.713,,,,,51.5112,-12.7537,0.2182,16.8783,6.7926,20.4337,14.9642,3.7387,0.4523,3.1779,0.7472,0.2038,0.0408,0.5556,6.6887,0.4518,0.6829,1,49.7811,2,3,0,1,1,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2014,Aur & Dayang,AUR_DAYANG_S03,Aur & Dayang Reef Site 03,Johor,Sunda Shelf,1,40.5981,40.7130,1,-0.1149,-0.1149,52.0935,-15.5819,0.3167,16.47,7.9493,17.1309,17.5351,4.4872,0.2585,4.2516,0.6938,0.0997,0.0434,1.1566,3.7747,0.3511,0.7629,1,105.8957,3,3,0,0,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2015,Aur & Dayang,AUR_DAYANG_S03,Aur & Dayang Reef Site 03,Johor,Sunda Shelf,1,39.7562,40.5981,1,-0.8419,-0.8419,51.7327,-13.4642,0.6745,17.9789,6.9793,16.0543,18.5568,4.6438,0.4471,4.1287,0.9009,0.0849,0.0917,0.7603,4.6014,0.6612,0.5843,1,70.4034,2,3,1,0,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2016,Aur & Dayang,AUR_DAYANG_S03,Aur & Dayang Reef Site 03,Johor,Sunda Shelf,1,41.6494,39.7562,1,1.8932,1.8932,51.9367,-12.1172,0.3623,15.106,5.7995,17.9148,19.1679,4.886,0.6267,6.1913,0.7133,0.1219,0.0405,1.0437,7.966,0.4976,0.4592,1,35.9066,3,3,0,1,0,1,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2017,Aur & Dayang,AUR_DAYANG_S03,Aur & Dayang Reef Site 03,Johor,Sunda Shelf,1,39.6183,41.6494,1,-2.0311,-2.0311,52.0881,-14.3106,0.4425,19.1569,6.7158,18.0444,16.0221,3.8666,0.5527,3.3417,0.6666,0.1249,0.0931,0.8631,5.702,0.6124,0.4606,1,36.0536,3,3,1,1,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2018,Aur & Dayang,AUR_DAYANG_S03,Aur & Dayang Reef Site 03,Johor,Sunda Shelf,1,38.0731,39.6183,1,-1.5452,-1.5452,51.8378,-14.7398,0.4074,16.8238,6.9311,17.3445,20.4201,4.4223,0.3826,3.8399,0.7001,0.1934,0.0748,0.5427,7.2803,0.4907,0.7004,1,88.3268,2,3,0,1,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2019,Aur & Dayang,AUR_DAYANG_S03,Aur & Dayang Reef Site 03,Johor,Sunda Shelf,1,40.3924,38.0731,1,2.3193,2.3193,52.9643,-15.0220,0.3857,16.0424,7.4066,20.0416,15.7313,3.7114,0.4504,3.7708,0.7278,0.1246,0.043,0.9111,4.9571,0.6439,0.7897,1,65.4814,2,3,0,1,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2020,Aur & Dayang,AUR_DAYANG_S03,Aur & Dayang Reef Site 03,Johor,Sunda Shelf,1,41.9701,40.3924,1,1.5777,1.5777,52.6804,-14.7300,0.3524,18.2383,7.1773,15.4788,16.783,4.388,0.3893,4.2073,0.8182,0.0878,0.0827,0.4464,5.2656,0.545,0.5202,1,72.066,3,3,0,1,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2021,Aur & Dayang,AUR_DAYANG_S03,Aur & Dayang Reef Site 03,Johor,Sunda Shelf,1,38.1402,41.9701,1,-3.8299,-3.8299,51.7237,-14.7039,0.4529,17.1986,7.0801,21.4187,15.7094,4.0507,0.5399,3.2849,0.8367,0.1519,0.0611,0.923,6.0798,0.6861,0.4294,1,57.0829,2,3,0,0,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2022,Aur & Dayang,AUR_DAYANG_S03,Aur & Dayang Reef Site 03,Johor,Sunda Shelf,1,42.1095,38.1402,1,3.9693,3.9693,51.6032,-11.7412,0.3734,17.9643,7.1257,20.241,12.1861,3.9716,0.5685,2.1448,0.7779,0.0814,0.0443,0.6351,4.766,0.6232,0.5336,1,42.3316,2,3,0,1,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2024,Aur & Dayang,AUR_DAYANG_S03,Aur & Dayang Reef Site 03,Johor,Sunda Shelf,1,41.0981,42.1095,2,-1.0114,-0.5057,52.8270,-12.9696,0.5071,16.8293,6.9294,19.0025,15.6336,4.5372,0.2829,2.8287,0.749,0.061,0.0739,1.1333,4.3945,0.6933,0.5007,1,34.2378,2,3,0,1,0,1,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2025,Aur & Dayang,AUR_DAYANG_S03,Aur & Dayang Reef Site 03,Johor,Sunda Shelf,1,39.0753,41.0981,1,-2.0228,-2.0228,51.8995,-13.8191,0.3555,15.5297,7.1551,22.1915,15.6929,3.9848,0.5892,4.1884,0.5905,0.1655,0.0551,0.8779,5.1996,0.7282,0.4611,1,13.9633,3,3,1,1,1,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2013,Aur & Dayang,AUR_DAYANG_S04,Aur & Dayang Reef Site 04,Johor,Sunda Shelf,1,43.8051,,,,,51.5112,-12.7537,0.2613,13.3757,6.0604,23.5977,12.8997,2.8911,0.3835,4.0452,0.7442,0.1917,0.0497,0.6256,5.2658,1.3542,0.7501,1,29.3785,2,3,0,1,1,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2015,Aur & Dayang,AUR_DAYANG_S04,Aur & Dayang Reef Site 04,Johor,Sunda Shelf,1,44.0606,43.8051,2,0.2555,0.1277,51.7327,-13.4642,0.5937,18.592,6.5424,16.2779,13.9333,3.0527,0.3684,4.7393,0.7308,0.0613,0.1043,0.6518,3.697,1.2958,0.5127,1,34.8042,3,3,0,1,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2017,Aur & Dayang,AUR_DAYANG_S04,Aur & Dayang Reef Site 04,Johor,Sunda Shelf,1,38.7582,44.0606,2,-5.3024,-2.6512,52.0881,-14.3106,0.547,18.2345,5.3687,22.1598,14.9319,3.1248,0.5342,4.6561,0.5865,0.1158,0.1214,0.8926,3.3356,1.2635,0.4903,1,20.8092,3,3,0,1,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2018,Aur & Dayang,AUR_DAYANG_S04,Aur & Dayang Reef Site 04,Johor,Sunda Shelf,1,43.7598,38.7582,1,5.0016,5.0016,51.8378,-14.7398,0.5333,15.6976,5.6978,19.1248,15.1867,3.5528,0.3192,5.4442,0.8514,0.1907,0.0733,0.5794,4.8086,1.2256,0.5523,1,59.0412,2,3,0,0,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2020,Aur & Dayang,AUR_DAYANG_S04,Aur & Dayang Reef Site 04,Johor,Sunda Shelf,1,41.6238,43.7598,2,-2.1360,-1.0680,52.6804,-14.7300,0.459,16.0185,5.9294,19.5466,16.4226,2.703,0.3371,4.7408,0.8613,0.0788,0.1141,0.4509,3.7198,1.4506,0.7481,1,39.7011,2,3,0,1,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2022,Aur & Dayang,AUR_DAYANG_S04,Aur & Dayang Reef Site 04,Johor,Sunda Shelf,1,43.187,41.6238,2,1.5632,0.7816,51.6032,-11.7412,0.4283,15.7545,6.7454,20.8743,13.0105,2.8008,0.4203,3.5505,0.7177,0.084,0.0578,0.6441,3.421,1.0705,0.6441,1,22.3704,3,3,0,1,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2023,Aur & Dayang,AUR_DAYANG_S04,Aur & Dayang Reef Site 04,Johor,Sunda Shelf,1,37.7152,43.1870,1,-5.4718,-5.4718,51.9329,-15.2427,0.4251,17.4571,7.3033,23.57,13.5293,3.353,0.334,6.5104,0.6887,0.1109,0.0737,0.7288,4.0265,1.39,0.5436,1,25.0347,2,3,1,1,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2024,Aur & Dayang,AUR_DAYANG_S04,Aur & Dayang Reef Site 04,Johor,Sunda Shelf,1,40.8437,37.7152,1,3.1285,3.1285,52.8270,-12.9696,0.5697,17.0316,6.8974,20.5389,14.1187,3.0218,0.2749,4.4566,0.9286,0.0452,0.0938,1.1471,2.9318,1.5341,0.5667,1,16.6163,2,3,1,1,1,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2025,Aur & Dayang,AUR_DAYANG_S04,Aur & Dayang Reef Site 04,Johor,Sunda Shelf,1,40.3339,40.8437,1,-0.5098,-0.5098,51.8995,-13.8191,0.538,14.3526,6.6561,24.7711,13.3483,3.3407,0.4959,5.4168,0.5975,0.108,0.0601,1.0115,4.6989,1.1398,0.4917,1,8.2454,3,3,1,1,0,1,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2012,Aur & Dayang,AUR_DAYANG_S05,Aur & Dayang Reef Site 05,Johor,Sunda Shelf,1,45.1763,,,,,51.9699,-7.6845,0.2828,19.193,4.8167,15.6447,14.8864,3.1614,0.2166,2.8383,0.3858,0.0856,0.0735,0.6899,3.1296,0.9191,0.4686,1,4.3276,2,2,0,1,1,1,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2013,Aur & Dayang,AUR_DAYANG_S05,Aur & Dayang Reef Site 05,Johor,Sunda Shelf,1,40.3612,45.1763,1,-4.8151,-4.8151,51.5112,-12.7537,0.256,17.5003,5.7282,18.676,17.4783,4.559,0.3417,4.3041,0.4873,0.1525,0.0459,0.3353,3.5453,0.8844,0.4934,1,25.5492,2,2,0,0,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2014,Aur & Dayang,AUR_DAYANG_S05,Aur & Dayang Reef Site 05,Johor,Sunda Shelf,1,39.5863,40.3612,1,-0.7749,-0.7749,52.0935,-15.5819,0.3537,20.0784,7.1994,12.7602,20.022,4.6353,0.233,4.787,0.6074,0.0759,0.0521,0.6823,2.3598,0.4552,0.4932,1,59.8586,2,3,0,1,1,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2015,Aur & Dayang,AUR_DAYANG_S05,Aur & Dayang Reef Site 05,Johor,Sunda Shelf,1,40.2788,39.5863,1,0.6925,0.6925,51.7327,-13.4642,0.7968,20.1765,7.4133,14.1656,17.169,4.9973,0.3114,5.3262,0.5527,0.0878,0.0822,0.4474,2.4685,0.7005,0.4191,1,34.9447,2,3,1,1,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2016,Aur & Dayang,AUR_DAYANG_S05,Aur & Dayang Reef Site 05,Johor,Sunda Shelf,1,42.2103,40.2788,1,1.9315,1.9315,51.9367,-12.1172,0.3633,20.0969,5.3822,15.0446,16.9026,4.3871,0.4009,7.1479,0.5599,0.0905,0.0465,0.8113,3.4514,0.6206,0.3737,1,20.5463,2,3,1,1,0,1,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2017,Aur & Dayang,AUR_DAYANG_S05,Aur & Dayang Reef Site 05,Johor,Sunda Shelf,1,39.4359,42.2103,1,-2.7744,-2.7744,52.0881,-14.3106,0.4055,22.2137,6.1579,16.0312,15.7558,4.1979,0.3019,4.7022,0.5086,0.0875,0.0933,0.6199,3.724,0.8159,0.4067,1,17.0432,3,3,0,1,1,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2018,Aur & Dayang,AUR_DAYANG_S05,Aur & Dayang Reef Site 05,Johor,Sunda Shelf,1,36.6812,39.4359,1,-2.7547,-2.7547,51.8378,-14.7398,0.464,19.5756,5.0325,13.5553,24.6914,4.5297,0.3569,5.415,0.5571,0.1373,0.0663,0.3319,4.3094,0.8055,0.4361,1,44.2856,2,3,1,0,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2019,Aur & Dayang,AUR_DAYANG_S05,Aur & Dayang Reef Site 05,Johor,Sunda Shelf,1,38.7114,36.6812,1,2.0302,2.0302,52.9643,-15.0220,0.4204,21.1936,7.0726,16.4805,16.1214,4.2305,0.2745,5.7759,0.6466,0.0933,0.0422,0.6616,4.3885,0.8136,0.5529,1,28.2293,1,3,1,1,0,1,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2020,Aur & Dayang,AUR_DAYANG_S05,Aur & Dayang Reef Site 05,Johor,Sunda Shelf,1,41.0171,38.7114,1,2.3057,2.3057,52.6804,-14.7300,0.3611,18.828,5.9486,15.7969,18.0482,3.5025,0.2461,3.9421,0.6448,0.0686,0.0774,0.2714,3.5226,0.6647,0.4364,1,33.8638,1,3,1,1,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2022,Aur & Dayang,AUR_DAYANG_S05,Aur & Dayang Reef Site 05,Johor,Sunda Shelf,1,42.5088,41.0171,2,1.4917,0.7459,51.6032,-11.7412,0.4645,18.6893,6.0236,16.3155,15.9984,3.9765,0.3294,3.2073,0.498,0.0603,0.0447,0.5365,2.6064,0.6694,0.4324,1,19.8209,2,3,1,0,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2023,Aur & Dayang,AUR_DAYANG_S05,Aur & Dayang Reef Site 05,Johor,Sunda Shelf,1,37.5173,42.5088,1,-4.9915,-4.9915,51.9329,-15.2427,0.4156,18.0087,7.9301,19.2234,16.9049,4.2275,0.2661,5.3372,0.407,0.0848,0.0822,0.4999,3.4101,0.7951,0.3845,1,21.3014,1,2,0,1,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
