site_id,site_name,island,state,ecoregion,latitude,longitude,marine_park,synthetic_site
HARIMAU_S04,Harimau Reef Site 04,Harimau,Johor,Sunda Shelf,2.504563,103.940442,Mersing Marine Park,1
HARIMAU_S05,Harimau Reef Site 05,Harimau,Johor,Sunda Shelf,2.499716,103.938177,Mersing Marine Park,1
HARIMAU_S06,Harimau Reef Site 06,Harimau,Johor,Sunda Shelf,2.496375,103.930359,Mersing Marine Park,1
HARIMAU_S07,Harimau Reef Site 07,Harimau,Johor,Sunda Shelf,2.496914,103.924916,Mersing Marine Park,1
HARIMAU_S08,Harimau Reef Site 08,Harimau,Johor,Sunda Shelf,2.50312,103.918144,Mersing Marine Park,1
HARIMAU_S09,Harimau Reef Site 09,Harimau,Johor,Sunda Shelf,2.514485,103.917201,Mersing Marine Park,1
HARIMAU_S10,Harimau Reef Site 10,Harimau,Johor,Sunda Shelf,2.522591,103.922484,Mersing Marine Park,1
HUJUNG_S01,Hujung Reef Site 01,Hujung,Johor,Sunda Shelf,2.489018,103.983902,Mersing Marine Park,1
HUJUNG_S02,Hujung Reef Site 02,Hujung,Johor,Sunda Shelf,2.489195,103.987078,Mersing Marine Park,1
HUJUNG_S03,Hujung Reef Site 03,Hujung,Johor,Sunda Shelf,2.484917,103.991397,Mersing Marine Park,1
HUJUNG_S04,Hujung Reef Site 04,Hujung,Johor,Sunda Shelf,2.48056,103.992405,Mersing Marine Park,1
HUJUNG_S05,Hujung Reef Site 05,Hujung,Johor,Sunda Shelf,2.474727,103.989792,Mersing Marine Park,1
HUJUNG_S06,Hujung Reef Site 06,Hujung,Johor,Sunda Shelf,2.471355,103.984444,Mersing Marine Park,1
HUJUNG_S07,Hujung Reef Site 07,Hujung,Johor,Sunda Shelf,2.472367,103.975808,Mersing Marine Park,1
HUJUNG_S08,Hujung Reef Site 08,Hujung,Johor,Sunda Shelf,2.4799,103.969191,Mersing Marine Park,1
HUJUNG_S09,Hujung Reef Site 09,Hujung,Johor,Sunda Shelf,2.48689,103.96795,Mersing Marine Park,1
HUJUNG_S10,Hujung Reef Site 10,Hujung,Johor,Sunda Shelf,2.496455,103.972522,Mersing Marine Park,1
KAPALAI_S01,Kapalai Reef Site 01,Kapalai,Sabah,North Borneo,4.230729,118.683794,Non-Park Reef (Semporna),1
KAPALAI_S02,Kapalai Reef Site 02,Kapalai,Sabah,North Borneo,4.230232,118.687963,Non-Park Reef (Semporna),1
KAPALAI_S03,Kapalai Reef Site 03,Kapalai,Sabah,North Borneo,4.228001,118.691006,Non-Park Reef (Semporna),1
KAPALAI_S04,Kapalai Reef Site 04,Kapalai,Sabah,North Borneo,4.222527,118.692498,Non-Park Reef (Semporna),1
KAPALAI_S05,Kapalai Reef Site 05,Kapalai,Sabah,North Borneo,4.21597,118.689149,Non-Park Reef (Semporna),1
KAPALAI_S06,Kapalai Reef Site 06,Kapalai,Sabah,North Borneo,4.213081,118.684692,Non-Park Reef (Semporna),1
KAPALAI_S07,Kapalai Reef Site 07,Kapalai,Sabah,North Borneo,4.214809,118.674809,Non-Park Reef (Semporna),1
KAPALAI_S08,Kapalai Reef Site 08,Kapalai,Sabah,North Borneo,4.220035,118.66964,Non-Park Reef (Semporna),1
KAPALAI_S09,Kapalai Reef Site 09,Kapalai,Sabah,North Borneo,4.23045,118.668483,Non-Park Reef (Semporna),1
KAPALAI_S10,Kapalai Reef Site 10,Kapalai,Sabah,North Borneo,4.237829,118.672116,Non-Park Reef (Semporna),1
KAPAS_S01,Kapas Reef Site 01,Kapas,Terengganu,Sunda Shelf,5.222412,103.266033,Terengganu Marine Park,1
KAPAS_S02,Kapas Reef Site 02,Kapas,Terengganu,Sunda Shelf,5.222434,103.270731,Terengganu Marine Park,1
KAPAS_S03,Kapas Reef Site 03,Kapas,Terengganu,Sunda Shelf,5.219946,103.274316,Terengganu Marine Park,1
KAPAS_S04,Kapas Reef Site 04,Kapas,Terengganu,Sunda Shelf,5.213778,103.275777,Terengganu Marine Park,1
KAPAS_S05,Kapas Reef Site 05,Kapas,Terengganu,Sunda Shelf,5.208031,103.273083,Terengganu Marine Park,1
KAPAS_S06,Kapas Reef Site 06,Kapas,Terengganu,Sunda Shelf,5.204702,103.266501,Terengganu Marine Park,1
KAPAS_S07,Kapas Reef Site 07,Kapas,Terengganu,Sunda Shelf,5.206456,103.258261,Terengganu Marine Park,1
KAPAS_S08,Kapas Reef Site 08,Kapas,Terengganu,Sunda Shelf,5.21202,103.252919,Terengganu Marine Park,1
KAPAS_S09,Kapas Reef Site 09,Kapas,Terengganu,Sunda Shelf,5.220295,103.251302,Terengganu Marine Park,1
KAPAS_S10,Kapas Reef Site 10,Kapas,Terengganu,Sunda Shelf,5.231477,103.25826,Terengganu Marine Park,1
KOTA_BELUD_S01,Kota Belud Reef Site 01,Kota Belud,Sabah,,6.355741,116.432975,West Coast Sabah Coastal,1
KOTA_BELUD_S02,Kota Belud Reef Site 02,Kota Belud,Sabah,,6.355254,116.437954,West Coast Sabah Coastal,1
KOTA_BELUD_S03,Kota Belud Reef Site 03,Kota Belud,Sabah,,6.352612,116.441174,West Coast Sabah Coastal,1
KOTA_BELUD_S04,Kota Belud Reef Site 04,Kota Belud,Sabah,,6.346713,116.442268,West Coast Sabah Coastal,1
KOTA_BELUD_S05,Kota Belud Reef Site 05,Kota Belud,Sabah,,6.341486,116.439904,West Coast Sabah Coastal,1
KOTA_BELUD_S06,Kota Belud Reef Site 06,Kota Belud,Sabah,,6.338034,116.432394,West Coast Sabah Coastal,1
KOTA_BELUD_S07,Kota Belud Reef Site 07,Kota Belud,Sabah,,6.339147,116.425652,West Coast Sabah Coastal,1
KOTA_BELUD_S08,Kota Belud Reef Site 08,Kota Belud,Sabah,,6.345425,116.419456,West Coast Sabah Coastal,1
KOTA_BELUD_S09,Kota Belud Reef Site 09,Kota Belud,Sabah,,6.353241,116.417792,West Coast Sabah Coastal,1
KOTA_BELUD_S10,Kota Belud Reef Site 10,Kota Belud,Sabah,,6.364774,116.424838,West Coast Sabah Coastal,1
KUCHING_S01,Kuching Reef Site 01,Kuching,Sarawak,Sunda Shelf,1.922429,110.082806,Talang-Satang National Park,1
KUCHING_S02,Kuching Reef Site 02,Kuching,Sarawak,Sunda Shelf,1.922669,110.086959,Talang-Satang National Park,1
KUCHING_S03,Kuching Reef Site 03,Kuching,Sarawak,Sunda Shelf,1.919323,110.091126,Talang-Satang National Park,1
KUCHING_S04,Kuching Reef Site 04,Kuching,Sarawak,Sunda Shelf,1.913738,110.092331,Talang-Satang National Park,1
KUCHING_S05,Kuching Reef Site 05,Kuching,Sarawak,Sunda Shelf,1.908046,110.089681,Talang-Satang National Park,1
KUCHING_S06,Kuching Reef Site 06,Kuching,Sarawak,Sunda Shelf,1.904713,110.082746,Talang-Satang National Park,1
KUCHING_S07,Kuching Reef Site 07,Kuching,Sarawak,Sunda Shelf,1.905784,110.075786,Talang-Satang National Park,1
KUCHING_S08,Kuching Reef Site 08,Kuching,Sarawak,Sunda Shelf,1.910737,110.070076,Talang-Satang National Park,1
KUCHING_S09,Kuching Reef Site 09,Kuching,Sarawak,Sunda Shelf,1.920644,110.068043,Talang-Satang National Park,1
KUCHING_S10,Kuching Reef Site 10,Kuching,Sarawak,Sunda Shelf,1.929982,110.072683,Talang-Satang National Park,1
LABUAN_S01,Labuan Reef Site 01,Labuan,W.P. Labuan,North Borneo,5.322448,115.216836,Labuan Marine Park,1
LABUAN_S02,Labuan Reef Site 02,Labuan,W.P. Labuan,North Borneo,5.32273,115.22027,Labuan Marine Park,1
LABUAN_S03,Labuan Reef Site 03,Labuan,W.P. Labuan,North Borneo,5.318805,115.224711,Labuan Marine Park,1
LABUAN_S04,Labuan Reef Site 04,Labuan,W.P. Labuan,North Borneo,5.314697,115.226027,Labuan Marine Park,1
LABUAN_S05,Labuan Reef Site 05,Labuan,W.P. Labuan,North Borneo,5.308522,115.223707,Labuan Marine Park,1
LABUAN_S06,Labuan Reef Site 06,Labuan,W.P. Labuan,North Borneo,5.304703,115.216444,Labuan Marine Park,1
LABUAN_S07,Labuan Reef Site 07,Labuan,W.P. Labuan,North Borneo,5.306977,115.20766,Labuan Marine Park,1
LABUAN_S08,Labuan Reef Site 08,Labuan,W.P. Labuan,North Borneo,5.310809,115.203393,Labuan Marine Park,1
LABUAN_S09,Labuan Reef Site 09,Labuan,W.P. Labuan,North Borneo,5.322071,115.20183,Labuan Marine Park,1
LABUAN_S10,Labuan Reef Site 10,Labuan,W.P. Labuan,North Borneo,5.330521,115.206759,Labuan Marine Park,1
LAHAD_DATU_S01,Lahad Datu Reef Site 01,Lahad Datu,Sabah,North Borneo,5.022425,118.333843,Darvel Bay Reefs,1
LAHAD_DATU_S02,Lahad Datu Reef Site 02,Lahad Datu,Sabah,North Borneo,5.022182,118.33767,Darvel Bay Reefs,1
LAHAD_DATU_S03,Lahad Datu Reef Site 03,Lahad Datu,Sabah,North Borneo,5.020131,118.340831,Darvel Bay Reefs,1
LAHAD_DATU_S04,Lahad Datu Reef Site 04,Lahad Datu,Sabah,North Borneo,5.013436,118.342256,Darvel Bay Reefs,1
LAHAD_DATU_S05,Lahad Datu Reef Site 05,Lahad Datu,Sabah,North Borneo,5.007873,118.339459,Darvel Bay Reefs,1
LAHAD_DATU_S06,Lahad Datu Reef Site 06,Lahad Datu,Sabah,North Borneo,5.004702,118.333492,Darvel Bay Reefs,1
LAHAD_DATU_S07,Lahad Datu Reef Site 07,Lahad Datu,Sabah,North Borneo,5.005954,118.325518,Darvel Bay Reefs,1
LAHAD_DATU_S08,Lahad Datu Reef Site 08,Lahad Datu,Sabah,North Borneo,5.01322,118.31917,Darvel Bay Reefs,1
LAHAD_DATU_S09,Lahad Datu Reef Site 09,Lahad Datu,Sabah,North Borneo,5.02078,118.318029,Darvel Bay Reefs,1
LAHAD_DATU_S10,Lahad Datu Reef Site 10,Lahad Datu,Sabah,North Borneo,5.029219,118.321755,Darvel Bay Reefs,1
LANG_TENGAH_S01,Lang Tengah Reef Site 01,Lang Tengah,Terengganu,Sunda Shelf,5.797439,102.89206,Terengganu Marine Park,1
LANG_TENGAH_S02,Lang Tengah Reef Site 02,Lang Tengah,Terengganu,Sunda Shelf,5.797582,102.895515,Terengganu Marine Park,1
LANG_TENGAH_S03,Lang Tengah Reef Site 03,Lang Tengah,Terengganu,Sunda Shelf,5.794071,102.899643,Terengganu Marine Park,1
LANG_TENGAH_S04,Lang Tengah Reef Site 04,Lang Tengah,Terengganu,Sunda Shelf,5.788,102.900495,Terengganu Marine Park,1
LANG_TENGAH_S05,Lang Tengah Reef Site 05,Lang Tengah,Terengganu,Sunda Shelf,5.78269,102.897594,Terengganu Marine Park,1
LANG_TENGAH_S06,Lang Tengah Reef Site 06,Lang Tengah,Terengganu,Sunda Shelf,5.779702,102.891482,Terengganu Marine Park,1
LANG_TENGAH_S07,Lang Tengah Reef Site 07,Lang Tengah,Terengganu,Sunda Shelf,5.781488,102.883214,Terengganu Marine Park,1
LANG_TENGAH_S08,Lang Tengah Reef Site 08,Lang Tengah,Terengganu,Sunda Shelf,5.78863,102.877456,Terengganu Marine Park,1
LANG_TENGAH_S09,Lang Tengah Reef Site 09,Lang Tengah,Terengganu,Sunda Shelf,5.796592,102.876652,Terengganu Marine Park,1
LANG_TENGAH_S10,Lang Tengah Reef Site 10,Lang Tengah,Terengganu,Sunda Shelf,5.8051,102.881186,Terengganu Marine Park,1
LANKAYAN_S01,Lankayan Reef Site 01,Lankayan,Sabah,North Borneo,6.508546,117.92369,Sugud Islands Marine Conservation Area (SIMCA),1
LANKAYAN_S02,Lankayan Reef Site 02,Lankayan,Sabah,North Borneo,6.50839,117.92814,Sugud Islands Marine Conservation Area (SIMCA),1
LANKAYAN_S03,Lankayan Reef Site 03,Lankayan,Sabah,North Borneo,6.505513,117.931742,Sugud Islands Marine Conservation Area (SIMCA),1
LANKAYAN_S04,Lankayan Reef Site 04,Lankayan,Sabah,North Borneo,6.500898,117.933268,Sugud Islands Marine Conservation Area (SIMCA),1
LANKAYAN_S05,Lankayan Reef Site 05,Lankayan,Sabah,North Borneo,6.494921,117.93126,Sugud Islands Marine Conservation Area (SIMCA),1
LANKAYAN_S06,Lankayan Reef Site 06,Lankayan,Sabah,North Borneo,6.490806,117.923531,Sugud Islands Marine Conservation Area (SIMCA),1
LANKAYAN_S07,Lankayan Reef Site 07,Lankayan,Sabah,North Borneo,6.492779,117.915175,Sugud Islands Marine Conservation Area (SIMCA),1
LANKAYAN_S08,Lankayan Reef Site 08,Lankayan,Sabah,North Borneo,6.497533,117.910303,Sugud Islands Marine Conservation Area (SIMCA),1
LANKAYAN_S09,Lankayan Reef Site 09,Lankayan,Sabah,North Borneo,6.506693,117.90854,Sugud Islands Marine Conservation Area (SIMCA),1
LANKAYAN_S10,Lankayan Reef Site 10,Lankayan,Sabah,North Borneo,6.516979,117.914461,Sugud Islands Marine Conservation Area (SIMCA),1
LARAPAN_S01,Larapan Reef Site 01,Larapan,Sabah,Sulu Sea,4.522443,118.583014,Tun Sakaran Marine Park,1
LARAPAN_S02,Larapan Reef Site 02,Larapan,Sabah,Sulu Sea,4.522028,118.587854,Tun Sakaran Marine Park,1
LARAPAN_S03,Larapan Reef Site 03,Larapan,Sabah,Sulu Sea,4.518624,118.591348,Tun Sakaran Marine Park,1
LARAPAN_S04,Larapan Reef Site 04,Larapan,Sabah,Sulu Sea,4.51421,118.592496,Tun Sakaran Marine Park,1
LARAPAN_S05,Larapan Reef Site 05,Larapan,Sabah,Sulu Sea,4.507441,118.58878,Tun Sakaran Marine Park,1
LARAPAN_S06,Larapan Reef Site 06,Larapan,Sabah,Sulu Sea,4.504755,118.584456,Tun Sakaran Marine Park,1
LARAPAN_S07,Larapan Reef Site 07,Larapan,Sabah,Sulu Sea,4.505387,118.57638,Tun Sakaran Marine Park,1
LARAPAN_S08,Larapan Reef Site 08,Larapan,Sabah,Sulu Sea,4.513281,118.569165,Tun Sakaran Marine Park,1
LARAPAN_S09,Larapan Reef Site 09,Larapan,Sabah,Sulu Sea,4.52153,118.568262,Tun Sakaran Marine Park,1
LARAPAN_S10,Larapan Reef Site 10,Larapan,Sabah,Sulu Sea,4.529383,118.571944,Tun Sakaran Marine Park,1
LIMA_S01,Lima Reef Site 01,Lima,Johor,Sunda Shelf,2.222435,104.167121,Mersing Marine Park,1
LIMA_S02,Lima Reef Site 02,Lima,Johor,Sunda Shelf,2.221891,104.1714,Mersing Marine Park,1
LIMA_S03,Lima Reef Site 03,Lima,Johor,Sunda Shelf,2.219811,104.174347,Mersing Marine Park,1
LIMA_S04,Lima Reef Site 04,Lima,Johor,Sunda Shelf,2.214858,104.176027,Mersing Marine Park,1
LIMA_S05,Lima Reef Site 05,Lima,Johor,Sunda Shelf,2.207499,104.172263,Mersing Marine Park,1
LIMA_S06,Lima Reef Site 06,Lima,Johor,Sunda Shelf,2.204719,104.166031,Mersing Marine Park,1
LIMA_S07,Lima Reef Site 07,Lima,Johor,Sunda Shelf,2.205133,104.160232,Mersing Marine Park,1
LIMA_S08,Lima Reef Site 08,Lima,Johor,Sunda Shelf,2.210938,104.153384,Mersing Marine Park,1
LIMA_S09,Lima Reef Site 09,Lima,Johor,Sunda Shelf,2.223085,104.152291,Mersing Marine Park,1
LIMA_S10,Lima Reef Site 10,Lima,Johor,Sunda Shelf,2.230574,104.156869,Mersing Marine Park,1
MABUL_S01,Mabul Reef Site 01,Mabul,Sabah,North Borneo,4.252149,118.629497,Non-Park Reef (Semporna),1
MABUL_S02,Mabul Reef Site 02,Mabul,Sabah,North Borneo,4.251777,118.633894,Non-Park Reef (Semporna),1
MABUL_S03,Mabul Reef Site 03,Mabul,Sabah,North Borneo,4.248409,118.637424,Non-Park Reef (Semporna),1
MABUL_S04,Mabul Reef Site 04,Mabul,Sabah,North Borneo,4.24327,118.638394,Non-Park Reef (Semporna),1
MABUL_S05,Mabul Reef Site 05,Mabul,Sabah,North Borneo,4.237254,118.635065,Non-Park Reef (Semporna),1
MABUL_S06,Mabul Reef Site 06,Mabul,Sabah,North Borneo,4.234429,118.630243,Non-Park Reef (Semporna),1
MABUL_S07,Mabul Reef Site 07,Mabul,Sabah,North Borneo,4.235122,118.622425,Non-Park Reef (Semporna),1
MABUL_S08,Mabul Reef Site 08,Mabul,Sabah,North Borneo,4.242735,118.615332,Non-Park Reef (Semporna),1
MABUL_S09,Mabul Reef Site 09,Mabul,Sabah,North Borneo,4.250678,118.6142,Non-Park Reef (Semporna),1
MABUL_S10,Mabul Reef Site 10,Mabul,Sabah,North Borneo,4.261189,118.620993,Non-Park Reef (Semporna),1
MALACCA_S01,Malacca Reef Site 01,Malacca,Malacca,Malacca Strait,2.055748,102.333446,Pulau Besar / Pulau Undan Marine Park,1
MALACCA_S02,Malacca Reef Site 02,Malacca,Malacca,Malacca Strait,2.055201,102.337988,Pulau Besar / Pulau Undan Marine Park,1
MALACCA_S03,Malacca Reef Site 03,Malacca,Malacca,Malacca Strait,2.052271,102.341236,Pulau Besar / Pulau Undan Marine Park,1
MALACCA_S04,Malacca Reef Site 04,Malacca,Malacca,Malacca Strait,2.046683,102.342208,Pulau Besar / Pulau Undan Marine Park,1
MALACCA_S05,Malacca Reef Site 05,Malacca,Malacca,Malacca Strait,2.041176,102.339445,Pulau Besar / Pulau Undan Marine Park,1
MALACCA_S06,Malacca Reef Site 06,Malacca,Malacca,Malacca Strait,2.038,102.333237,Pulau Besar / Pulau Undan Marine Park,1
MALACCA_S07,Malacca Reef Site 07,Malacca,Malacca,Malacca Strait,2.03855,102.326627,Pulau Besar / Pulau Undan Marine Park,1
MALACCA_S08,Malacca Reef Site 08,Malacca,Malacca,Malacca Strait,2.04507,102.319655,Pulau Besar / Pulau Undan Marine Park,1
MALACCA_S09,Malacca Reef Site 09,Malacca,Malacca,Malacca Strait,2.056615,102.318997,Pulau Besar / Pulau Undan Marine Park,1
MALACCA_S10,Malacca Reef Site 10,Malacca,Malacca,Malacca Strait,2.064567,102.324531,Pulau Besar / Pulau Undan Marine Park,1
MALIANGIN_S01,Maliangin Reef Site 01,Maliangin,Sabah,North Borneo,7.072422,117.049427,Tun Mustapha Park,1
